,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,Lil Bit,Nelly & Florida Georgia Line,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,audio_features,0NmuYnjETG3u3qx0OmEJev,spotify:track:0NmuYnjETG3u3qx0OmEJev,https://api.spotify.com/v1/tracks/0NmuYnjETG3u3qx0OmEJev,https://api.spotify.com/v1/audio-analysis/0NmuYnjETG3u3qx0OmEJev,195962,4
50,Blame It On You,Jason Aldean,0.484,0.783,2,-5.334,1,0.0308,0.0957,0.000118,0.107,0.594,137.918,audio_features,2CwG4BXIlGmmYLDmDvwMTH,spotify:track:2CwG4BXIlGmmYLDmDvwMTH,https://api.spotify.com/v1/tracks/2CwG4BXIlGmmYLDmDvwMTH,https://api.spotify.com/v1/audio-analysis/2CwG4BXIlGmmYLDmDvwMTH,215360,4
51,Nobody,Dylan Scott,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,audio_features,5TWAIHYaOnYg4txfmCgon5,spotify:track:5TWAIHYaOnYg4txfmCgon5,https://api.spotify.com/v1/tracks/5TWAIHYaOnYg4txfmCgon5,https://api.spotify.com/v1/audio-analysis/5TWAIHYaOnYg4txfmCgon5,160707,4
52,Todo de Ti,Rauw Alejandro,0.808,0.626,3,-4.577,0,0.0353,0.397,0.00584,0.102,0.569,127.955,audio_features,4fSIb4hdOQ151TILNsSEaF,spotify:track:4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/tracks/4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/audio-analysis/4fSIb4hdOQ151TILNsSEaF,202771,4
53,Enough For You,Olivia Rodrigo,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,audio_features,2TOzTqQXNmR2zDJXihjZ2e,spotify:track:2TOzTqQXNmR2zDJXihjZ2e,https://api.spotify.com/v1/tracks/2TOzTqQXNmR2zDJXihjZ2e,https://api.spotify.com/v1/audio-analysis/2TOzTqQXNmR2zDJXihjZ2e,202827,4
54,Settling Down,Miranda Lambert,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,audio_features,53bZYxVbCYm6w1Gx8U64bz,spotify:track:53bZYxVbCYm6w1Gx8U64bz,https://api.spotify.com/v1/tracks/53bZYxVbCYm6w1Gx8U64bz,https://api.spotify.com/v1/audio-analysis/53bZYxVbCYm6w1Gx8U64bz,197453,4
55,Still Hood,Lil Baby & Lil Durk,0.742,0.701,1,-5.92,1,0.21,0.0821,0.0,0.116,0.178,137.951,audio_features,1huoY7hw3hGVGfuPPe9y8P,spotify:track:1huoY7hw3hGVGfuPPe9y8P,https://api.spotify.com/v1/tracks/1huoY7hw3hGVGfuPPe9y8P,https://api.spotify.com/v1/audio-analysis/1huoY7hw3hGVGfuPPe9y8P,195064,4
56,"Jealousy, Jealousy",Olivia Rodrigo,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,audio_features,0MMyJUC3WNnFS1lit5pTjk,spotify:track:0MMyJUC3WNnFS1lit5pTjk,https://api.spotify.com/v1/tracks/0MMyJUC3WNnFS1lit5pTjk,https://api.spotify.com/v1/audio-analysis/0MMyJUC3WNnFS1lit5pTjk,173160,4
57,Okay,Lil Baby & Lil Durk,0.89,0.674,11,-5.45,0,0.318,0.107,0.0,0.111,0.248,134.028,audio_features,3jweuceENR5zzn10LhcjPH,spotify:track:3jweuceENR5zzn10LhcjPH,https://api.spotify.com/v1/tracks/3jweuceENR5zzn10LhcjPH,https://api.spotify.com/v1/audio-analysis/3jweuceENR5zzn10LhcjPH,216548,4
58,Almost Maybes,Jordan Davis,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,audio_features,6BheQYyYJLJvfU0AlIGnhu,spotify:track:6BheQYyYJLJvfU0AlIGnhu,https://api.spotify.com/v1/tracks/6BheQYyYJLJvfU0AlIGnhu,https://api.spotify.com/v1/audio-analysis/6BheQYyYJLJvfU0AlIGnhu,179153,4
59,Man Of My Word,Lil Baby & Lil Durk,0.789,0.609,1,-5.969,1,0.174,0.0439,0.0,0.178,0.0816,136.001,audio_features,4nNw167LUp6j2VvuJdbtv8,spotify:track:4nNw167LUp6j2VvuJdbtv8,https://api.spotify.com/v1/tracks/4nNw167LUp6j2VvuJdbtv8,https://api.spotify.com/v1/audio-analysis/4nNw167LUp6j2VvuJdbtv8,172401,4
60,Build A Bitch,Bella Poarch,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,7BoobGhD4x5K96Me0hqC8Q,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773,4
61,Breaking Up Was Easy In The 90's,Sam Hunt,0.562,0.649,9,-5.4,1,0.0494,0.231,0.0,0.341,0.376,145.913,audio_features,4sf2L157iEgAR7yrCNLgSq,spotify:track:4sf2L157iEgAR7yrCNLgSq,https://api.spotify.com/v1/tracks/4sf2L157iEgAR7yrCNLgSq,https://api.spotify.com/v1/audio-analysis/4sf2L157iEgAR7yrCNLgSq,215933,4
62,Glad You Exist,Dan + Shay,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,audio_features,472vIK1ldetTxRxG3ovaiY,spotify:track:472vIK1ldetTxRxG3ovaiY,https://api.spotify.com/v1/tracks/472vIK1ldetTxRxG3ovaiY,https://api.spotify.com/v1/audio-analysis/472vIK1ldetTxRxG3ovaiY,144533,4
63,pride.is.the.devil,J. Cole & Lil Baby,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,audio_features,5W8jRrZ6tWrTrqnKRtIQBf,spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/tracks/5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/audio-analysis/5W8jRrZ6tWrTrqnKRtIQBf,218210,4
64,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,audio_features,4wcBRRpIfesgcyUtis7PEg,spotify:track:4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587,4
65,Ski,Young Thug & Gunna,0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016,audio_features,6755DFiZ7CWe2WMdTGW5C1,spotify:track:6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/tracks/6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/audio-analysis/6755DFiZ7CWe2WMdTGW5C1,152333,4
66,Medical,Lil Baby & Lil Durk,0.763,0.798,2,-4.692,1,0.397,0.0555,0.0,0.116,0.482,77.987,audio_features,5BCzsnN4U4OvOegjErHTUF,spotify:track:5BCzsnN4U4OvOegjErHTUF,https://api.spotify.com/v1/tracks/5BCzsnN4U4OvOegjErHTUF,https://api.spotify.com/v1/audio-analysis/5BCzsnN4U4OvOegjErHTUF,187680,4
67,Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",0.469,0.613,11,-6.556,1,0.335,0.0747,0.0,0.205,0.135,72.434,audio_features,6MSyik7EzWsHQjTOPLFBrr,spotify:track:6MSyik7EzWsHQjTOPLFBrr,https://api.spotify.com/v1/tracks/6MSyik7EzWsHQjTOPLFBrr,https://api.spotify.com/v1/audio-analysis/6MSyik7EzWsHQjTOPLFBrr,235015,1
68,Leave Before You Love Me,Marshmello X Jonas Brothers,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
69,Lying,Lil Baby & Lil Durk,0.741,0.892,10,-4.225,0,0.304,0.172,0.0,0.126,0.56,159.088,audio_features,5LtzwqIWPXKEYfVcaY3bjc,spotify:track:5LtzwqIWPXKEYfVcaY3bjc,https://api.spotify.com/v1/tracks/5LtzwqIWPXKEYfVcaY3bjc,https://api.spotify.com/v1/audio-analysis/5LtzwqIWPXKEYfVcaY3bjc,181981,4
70,Snowflakes,Tom MacDonald,0.53,0.826,4,-6.369,1,0.43,0.0209,0.0,0.0915,0.277,95.99,audio_features,6gcRcCkx2K09BucndWZMCS,spotify:track:6gcRcCkx2K09BucndWZMCS,https://api.spotify.com/v1/tracks/6gcRcCkx2K09BucndWZMCS,https://api.spotify.com/v1/audio-analysis/6gcRcCkx2K09BucndWZMCS,229375,4
71,Single Saturday Night,Cole Swindell,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,audio_features,1irAliF0T8sLIOPJp6n7rU,spotify:track:1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/tracks/1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/audio-analysis/1irAliF0T8sLIOPJp6n7rU,187684,4
72,That's Facts,Lil Baby & Lil Durk,0.884,0.577,1,-4.716,1,0.319,0.0843,0.0,0.0602,0.854,137.032,audio_features,6dug6dIV40JMz2myhafHrm,spotify:track:6dug6dIV40JMz2myhafHrm,https://api.spotify.com/v1/tracks/6dug6dIV40JMz2myhafHrm,https://api.spotify.com/v1/audio-analysis/6dug6dIV40JMz2myhafHrm,218611,4
73,Made For You,Jake Owen,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,audio_features,7vF3xkCMvZjAe2nTWY0uQZ,spotify:track:7vF3xkCMvZjAe2nTWY0uQZ,https://api.spotify.com/v1/tracks/7vF3xkCMvZjAe2nTWY0uQZ,https://api.spotify.com/v1/audio-analysis/7vF3xkCMvZjAe2nTWY0uQZ,238400,4
74,Your Power,Billie Eilish,0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,audio_features,5qNh5WtzMbfpSj2jLlBkoD,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,https://api.spotify.com/v1/tracks/5qNh5WtzMbfpSj2jLlBkoD,https://api.spotify.com/v1/audio-analysis/5qNh5WtzMbfpSj2jLlBkoD,245897,4
75,No More Parties,Coi Leray Featuring Lil Durk,0.827,0.394,11,-10.073,1,0.559,0.253,0.0,0.12,0.715,157.0,audio_features,5A4WcRuy0FFEAC5pAK43oa,spotify:track:5A4WcRuy0FFEAC5pAK43oa,https://api.spotify.com/v1/tracks/5A4WcRuy0FFEAC5pAK43oa,https://api.spotify.com/v1/audio-analysis/5A4WcRuy0FFEAC5pAK43oa,192880,4
76,We're Good,Dua Lipa,0.718,0.561,6,-6.987,1,0.0578,0.0334,0.0,0.182,0.615,133.993,audio_features,5qCBqBq5iHNyJdIKe4mh8S,spotify:track:5qCBqBq5iHNyJdIKe4mh8S,https://api.spotify.com/v1/tracks/5qCBqBq5iHNyJdIKe4mh8S,https://api.spotify.com/v1/audio-analysis/5qCBqBq5iHNyJdIKe4mh8S,165507,4
77,One Too Many,Keith Urban Duet With P!nk,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,audio_features,5NUXE8W12lWcUXgJRCjeEw,spotify:track:5NUXE8W12lWcUXgJRCjeEw,https://api.spotify.com/v1/tracks/5NUXE8W12lWcUXgJRCjeEw,https://api.spotify.com/v1/audio-analysis/5NUXE8W12lWcUXgJRCjeEw,203893,4
78,Please,Lil Baby & Lil Durk,0.677,0.634,7,-6.231,1,0.335,0.228,0.0,0.131,0.496,90.268,audio_features,3zWR0zS9p39c0FVkYkHfVF,spotify:track:3zWR0zS9p39c0FVkYkHfVF,https://api.spotify.com/v1/tracks/3zWR0zS9p39c0FVkYkHfVF,https://api.spotify.com/v1/audio-analysis/3zWR0zS9p39c0FVkYkHfVF,206254,4
79,Up The Side,"Lil Baby, Lil Durk & Young Thug",0.644,0.563,0,-9.814,0,0.159,0.0518,0.0,0.179,0.339,160.106,audio_features,2L6lh2RmMs1yz4FQzdbwOn,spotify:track:2L6lh2RmMs1yz4FQzdbwOn,https://api.spotify.com/v1/tracks/2L6lh2RmMs1yz4FQzdbwOn,https://api.spotify.com/v1/audio-analysis/2L6lh2RmMs1yz4FQzdbwOn,218417,4
80,Minimum Wage,Blake Shelton,0.546,0.934,4,-3.796,1,0.0643,0.00187,0.0,0.062,0.775,89.972,audio_features,0Lavu1rppGgXfiK27cAMyU,spotify:track:0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/tracks/0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/audio-analysis/0Lavu1rppGgXfiK27cAMyU,228187,4
81,Miss The Rage,Trippie Redd & Playboi Carti,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,audio_features,2BITQ360Knh6qNAOqR7Dyq,spotify:track:2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/tracks/2BITQ360Knh6qNAOqR7Dyq,https://api.spotify.com/v1/audio-analysis/2BITQ360Knh6qNAOqR7Dyq,236883,4
82,Way Less Sad,AJR,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,audio_features,6iN378BwkBEURt11IhvEJI,spotify:track:6iN378BwkBEURt11IhvEJI,https://api.spotify.com/v1/tracks/6iN378BwkBEURt11IhvEJI,https://api.spotify.com/v1/audio-analysis/6iN378BwkBEURt11IhvEJI,206108,4
83,Hope Ur OK,Olivia Rodrigo,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,audio_features,1zejeOnykpCoyVSit6Bwp3,spotify:track:1zejeOnykpCoyVSit6Bwp3,https://api.spotify.com/v1/tracks/1zejeOnykpCoyVSit6Bwp3,https://api.spotify.com/v1/audio-analysis/1zejeOnykpCoyVSit6Bwp3,209560,4
84,Quicksand,Morray,0.901,0.656,4,-7.452,0,0.277,0.0807,0.0,0.181,0.599,119.956,audio_features,4iCZ6Cr76For1TuHUQ90r8,spotify:track:4iCZ6Cr76For1TuHUQ90r8,https://api.spotify.com/v1/tracks/4iCZ6Cr76For1TuHUQ90r8,https://api.spotify.com/v1/audio-analysis/4iCZ6Cr76For1TuHUQ90r8,224933,4
85,Arcade,Duncan Laurence,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3
86,Straightenin,Migos,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976,audio_features,3X2r2CnHOJeV5YekPTgBnK,spotify:track:3X2r2CnHOJeV5YekPTgBnK,https://api.spotify.com/v1/tracks/3X2r2CnHOJeV5YekPTgBnK,https://api.spotify.com/v1/audio-analysis/3X2r2CnHOJeV5YekPTgBnK,255532,4
87,Gang Gang,Polo G & Lil Wayne,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05,audio_features,4VW44pawoOHPUjlN7DX5vk,spotify:track:4VW44pawoOHPUjlN7DX5vk,https://api.spotify.com/v1/tracks/4VW44pawoOHPUjlN7DX5vk,https://api.spotify.com/v1/audio-analysis/4VW44pawoOHPUjlN7DX5vk,178776,4
88,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,audio_features,1UYfAU2bwgjaM5rIIPQleC,spotify:track:1UYfAU2bwgjaM5rIIPQleC,https://api.spotify.com/v1/tracks/1UYfAU2bwgjaM5rIIPQleC,https://api.spotify.com/v1/audio-analysis/1UYfAU2bwgjaM5rIIPQleC,160839,4
89,Follow You,Imagine Dragons,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,audio_features,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/tracks/7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/audio-analysis/7FdUvDkaE24o3FPIWTvzv2,175644,4
90,Chasing After You,Ryan Hurd With Maren Morris,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,audio_features,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,207974,4
91,Tell Em,Cochise & $NOT,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,audio_features,7nc7mlSdWYeFom84zZ8Wr8,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/tracks/7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/audio-analysis/7nc7mlSdWYeFom84zZ8Wr8,180380,4
92,4 Da Gang,42 Dugg & Roddy Ricch,0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482,audio_features,4KIkADzoVm3A10E9qyjsQ5,spotify:track:4KIkADzoVm3A10E9qyjsQ5,https://api.spotify.com/v1/tracks/4KIkADzoVm3A10E9qyjsQ5,https://api.spotify.com/v1/audio-analysis/4KIkADzoVm3A10E9qyjsQ5,155720,4
93,Tombstone,Rod Wave,0.55,0.637,8,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,audio_features,5pRTz4O2qOkr5nawemy6Wb,spotify:track:5pRTz4O2qOkr5nawemy6Wb,https://api.spotify.com/v1/tracks/5pRTz4O2qOkr5nawemy6Wb,https://api.spotify.com/v1/audio-analysis/5pRTz4O2qOkr5nawemy6Wb,160078,4
94,What's Next,Drake,0.777,0.58,0,-6.928,0,0.0525,0.0125,0.0,0.161,0.0636,129.918,audio_features,3mDFLytDotXo2p0rvfGbkA,spotify:track:3mDFLytDotXo2p0rvfGbkA,https://api.spotify.com/v1/tracks/3mDFLytDotXo2p0rvfGbkA,https://api.spotify.com/v1/audio-analysis/3mDFLytDotXo2p0rvfGbkA,178154,4
95,Things A Man Oughta Know,Lainey Wilson,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,audio_features,5QS8PNEWbqTEZyQ6e9ZbJf,spotify:track:5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/tracks/5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/audio-analysis/5QS8PNEWbqTEZyQ6e9ZbJf,203373,4
96,Country Again,Thomas Rhett,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,audio_features,3SR6R5XetNfOcVqvUwDkTz,spotify:track:3SR6R5XetNfOcVqvUwDkTz,https://api.spotify.com/v1/tracks/3SR6R5XetNfOcVqvUwDkTz,https://api.spotify.com/v1/audio-analysis/3SR6R5XetNfOcVqvUwDkTz,221240,4
97,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,audio_features,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/tracks/0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626,4
98,If You Want To,Lil Baby & Lil Durk,0.795,0.599,6,-7.819,1,0.123,0.0414,0.0,0.193,0.351,97.033,audio_features,1EXRmdtTA2IEnYGiuw9plD,spotify:track:1EXRmdtTA2IEnYGiuw9plD,https://api.spotify.com/v1/tracks/1EXRmdtTA2IEnYGiuw9plD,https://api.spotify.com/v1/audio-analysis/1EXRmdtTA2IEnYGiuw9plD,195454,4
99,Seeing Green,"Nicki Minaj, Drake & Lil Wayne",0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,audio_features,1TZv3bujNaYz646eezRE91,spotify:track:1TZv3bujNaYz646eezRE91,https://api.spotify.com/v1/tracks/1TZv3bujNaYz646eezRE91,https://api.spotify.com/v1/audio-analysis/1TZv3bujNaYz646eezRE91,339506,4
